"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","which_experiment_phase"
"pavlovia","0","923","0.0-0.0","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","","","","","","","","","","","","","","","",""
"instructions","1","6434","0.0-1.0","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","[{""page_index"":0,""viewing_time"":448},{""page_index"":1,""viewing_time"":1366},{""page_index"":0,""viewing_time"":873},{""page_index"":1,""viewing_time"":434},{""page_index"":2,""viewing_time"":1852},{""page_index"":3,""viewing_time"":534}]","5508","","","","","","","","","","","","","","",""
"html-button-response","2","7302","0.0-2.0-0.0","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","864","<div class=""prompt"">Which word describes you more?</div>","1","1","quitter","learner","PosNeg","63","59","negative","positive","4","learner","right","true","pairing"
"html-button-response","3","7819","0.0-2.0-0.1","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","515","<div class=""prompt"">Which word describes you more?</div>","0","2","ambitious","healthy","PosPos","92","18","positive","positive","74","ambitious","left","true","pairing"
"html-button-response","4","8337","0.0-2.0-0.2","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","515","<div class=""prompt"">Which word describes you more?</div>","1","3","visionary","adventurous","PosPos","72","28","positive","positive","44","adventurous","right","true","pairing"
"html-button-response","5","8871","0.0-2.0-0.3","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","533","<div class=""prompt"">Which word describes you more?</div>","0","4","pest","miserable","NegNeg","3","70","negative","negative","67","pest","left","true","pairing"
"html-button-response","6","9273","0.0-2.0-0.4","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","399","<div class=""prompt"">Which word describes you more?</div>","0","5","quitter","irresponsible","NegNeg","63","73","negative","negative","10","quitter","left","true","pairing"
"html-button-response","7","10186","0.0-2.0-0.5","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","911","<div class=""prompt"">Which word describes you more?</div>","0","6","unwanted","fun","PosNeg","55","77","negative","positive","22","unwanted","left","true","pairing"
"html-button-response","8","11945","0.0-2.0-0.6","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","1756","<div class=""prompt"">Which word describes you more?</div>","1","7","blissful","immoral","PosNeg","56","35","positive","negative","21","immoral","right","true","pairing"
"html-button-response","9","12479","0.0-2.0-0.7","","1004","2025-09-26","21:30:16.302Z","day1","evening","2025-09-26T22:15:57.021Z","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","390","663","240","","533","<div class=""prompt"">Which word describes you more?</div>","0","8","disastrous","appealing","PosNeg","12","79","negative","positive","67","disastrous","left","true","pairing"
